year,month,country,systems_count,total_rmax,total_rpeak,average_rmax,average_power,average_efficiency,highest_rank,total_cores,total_power_kw,month_num,date,power_missing,efficiency_missing,performance_per_core,power_efficiency
2001,November,United Kingdom,34,7236.12,9987.7,212.8270588,Unknown,Unknown,21,7038,0,11,11/1/2001,1,1,1.028150043,Unknown
2001,November,United States,230,77848.11,120192.07,338.4700435,Unknown,Unknown,1,109681,0,11,11/1/2001,1,1,0.709768419,Unknown
2002,June,Australia,3,1162.5,1429.2,387.5,Unknown,Unknown,42,640,0,6,6/1/2002,1,1,1.81640625,Unknown
2002,June,Austria,1,204.5,472,204.5,Unknown,Unknown,263,160,0,6,6/1/2002,1,1,1.278125,Unknown
2002,June,Belgium,3,579.6,857.6,193.2,Unknown,Unknown,307,320,0,6,6/1/2002,1,1,1.81125,Unknown
2002,June,Brazil,2,392.5,563.2,196.25,Unknown,Unknown,283,256,0,6,6/1/2002,1,1,1.533203125,Unknown
2002,June,Canada,13,2319.6,4025.4,178.4307692,Unknown,Unknown,226,2828,0,6,6/1/2002,1,1,0.820226308,Unknown
2002,June,China,3,640,1088,213.3333333,Unknown,Unknown,192,352,0,6,6/1/2002,1,1,1.818181818,Unknown
2002,June,Finland,4,1503.9,3221.2,375.975,Unknown,Unknown,33,1308,0,6,6/1/2002,1,1,1.149770642,Unknown
2002,June,France,23,9307.6,13310.43,404.6782609,Unknown,Unknown,4,6303,0,6,6/1/2002,1,1,1.476693638,Unknown
2002,June,Germany,64,20122.1,33429.6,314.4078125,Unknown,Unknown,14,17528,0,6,6/1/2002,1,1,1.14799749,Unknown
2002,June,Italy,16,3814.5,7107.2,238.40625,Unknown,Unknown,32,2224,0,6,6/1/2002,1,1,1.715152878,Unknown
2002,June,Japan,53,57315.2,67578.16,1081.418868,1849,5.833044679,1,17400,3698,6,6/1/2002,0,0,3.293977011,15.49897242
2002,June,Luxembourg,2,274.2,409.6,137.1,Unknown,Unknown,479,512,0,6,6/1/2002,1,1,0.535546875,Unknown
2002,June,Netherlands,9,2096.7,3641.2,232.9666667,Unknown,Unknown,123,2996,0,6,6/1/2002,1,1,0.699833111,Unknown
2002,June,Norway,3,945.9,1497.6,315.3,Unknown,Unknown,118,992,0,6,6/1/2002,1,1,0.953528226,Unknown
2002,June,Portugal,1,301,444,301,Unknown,Unknown,164,296,0,6,6/1/2002,1,1,1.016891892,Unknown
2002,June,Russia,1,564,1024,564,Unknown,Unknown,64,768,0,6,6/1/2002,1,1,0.734375,Unknown
2002,June,Saudi Arabia,3,1098,3394,366,Unknown,Unknown,75,2768,0,6,6/1/2002,1,1,0.396676301,Unknown
2002,June,Singapore,2,840.6,1516.8,420.3,Unknown,Unknown,68,400,0,6,6/1/2002,1,1,2.1015,Unknown
2002,June,South Korea,11,2138.1,3256,194.3727273,Unknown,Unknown,158,1452,0,6,6/1/2002,1,1,1.472520661,Unknown
2002,June,Sweden,5,1555.74,2424.4,311.148,Unknown,Unknown,93,1884,0,6,6/1/2002,1,1,0.825764331,Unknown
2002,June,Switzerland,1,590.2,1331.2,590.2,Unknown,Unknown,61,256,0,6,6/1/2002,1,1,2.30546875,Unknown
2002,June,Taiwan,3,993.2,1823.2,331.0666667,Unknown,Unknown,60,449,0,6,6/1/2002,1,1,2.212026726,Unknown
2002,June,United Kingdom,37,11896.2,21143.8,321.5189189,Unknown,Unknown,11,13726,0,6,6/1/2002,1,1,0.866690951,Unknown
2002,June,United States,226,99263.33,163412.93,439.2182743,Unknown,Unknown,2,121131,0,6,6/1/2002,1,1,0.819470903,Unknown
2002,November,Australia,3,1410.3,2040,470.1,Unknown,Unknown,63,720,0,11,11/1/2002,1,1,1.95875,Unknown
2002,November,Austria,1,204.5,472,204.5,Unknown,Unknown,366,160,0,11,11/1/2002,1,1,1.278125,Unknown
2002,November,Belgium,4,884.1,1308.8,221.025,Unknown,Unknown,252,528,0,11,11/1/2002,1,1,1.674431818,Unknown
